Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
1,1,1,0,0,3,0,1,0,0,1,1,1,1,1,1,1,4,3,5,5,4,4,3,1,1,1,1,1,1,1,1,0,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
2,1,1,0,0,3,2,0,1,0,1,1,1,1,1,1,1,4,3,4,4,4,5,2,1,1,1,1,1,1,1,1,0,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
3,0,1,2,0,2,0,1,2,0,1,1,1,1,1,1,1,4,3,4,4,4,4,3,1,1,1,1,1,1,1,1,0,0.021281029227163337,-0.004590460497816862,0.12538217471405175,-0.3922619372488648,-0.1527116987650111,-0.3520175811976075,0.23884168821279425,0.09897805518240081
4,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,1,4,3,3,3,3,1,1,1,1,1,1,1,1,1,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
5,0,1,0,0,2,2,1,1,1,1,1,1,1,1,1,2,3,3,4,2,2,3,3,1,1,1,1,1,1,1,1,0,-0.46411047274604295,0.30126361337608776,0.11786444379673904,-0.12220646044960232,-0.010133602998425334,0.09326494174780615,-0.4729877077759378,0.2003949852391887
6,1,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,4,3,5,5,4,5,4,1,1,1,1,1,1,1,1,0,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
7,1,1,0,0,3,0,0,0,0,1,1,1,1,1,1,2,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,0,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
8,0,1,2,2,3,0,1,2,0,1,1,1,1,1,1,1,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0.4274913144960487,-0.21612102204966804,-0.21835550884047805,-0.052153975254763035,-0.29330061985995637,-1.0385622337032392,0.15566063630709265,0.44814892669423356
9,1,1,0,0,3,1,0,2,0,1,1,1,1,1,1,3,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,-0.5763114740182099,0.40396537828000967,-0.2482269816264546,0.5247467801158103,-0.12296878566172974,0.15823943651776515,0.14159479989913473,-0.15083270354371828
10,0,1,2,0,2,2,0,2,1,1,1,1,1,1,1,2,4,3,3,4,3,3,4,1,1,1,1,1,1,1,1,0,-0.14919019584898086,-0.22870470227557105,0.03228952901176569,-0.1491019781340641,0.016697158954194297,-0.008808440714294208,-0.4734610961807365,-0.012297067502707561
